Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5zCnGtCl5Ac5zlFHXaZmhy,"Sajni (From ""Laapataa Ladies"")","Sajni (From ""Laapataa Ladies"")","Ram Sampath;Arijit Singh;Prashant Pandey",2024-02-12,170044,77,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"bollywood,desi,hindi pop,bangla pop","T-Series",0.428,0.413,0,-7.783,1,0.0281,0.827,0.00000935,0.108,0.355,79.646,4
spotify:track:1hA697u7e1jX2XM8sWA6Uy,"Apna Bana Le","Bhediya (Original Motion Picture Soundtrack)","Sachin-Jigar;Arijit Singh;Amitabh Bhattacharya",2022-12-06,261702,78,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"gujarati pop,bollywood,hindi pop,desi,gujarati garba,bangla pop","Zee Music Company",0.586,0.562,9,-7.399,1,0.0267,0.803,0.00000552,0.063,0.436,93.982,4
spotify:track:5npFBWhVs3VVlc0nY5xQMA,"Tainu Khabar Nahi - From ""Munjya""","Tainu Khabar Nahi (From ""Munjya"")","Sachin-Jigar;Arijit Singh",2024-05-31,188166,75,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"gujarati pop,bollywood,hindi pop,desi,gujarati garba,bangla pop","Zee Music Company",0.588,0.595,9,-7.493,1,0.0488,0.777,0,0.153,0.594,90.013,4
spotify:track:75p6BrziB5urmwPCeXl3y7,"Main Dhoondne Ko Zamaane Mein","Heartless","Arijit Singh",2014-01-08,262986,67,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"hindi pop,bollywood,desi,bangla pop","T-Series",0.329,0.45,2,-6.312,0,0.0405,0.594,0,0.13,0.284,80.095,4
spotify:track:1X1okIRpvluE4sA5bPKzKu,"Ranga Ranga Rangasthalaana","Rangasthalam","Rahul Sipligunj;Devi Sri Prasad;Chandra Bose",2018-03-15,305967,0,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"telugu pop,tollywood,tamil dance","Lahari Music",0.547,0.986,0,-4.705,1,0.228,0.574,0.167,0.106,0.593,90.059,4
spotify:track:1KQI1Wm0pehxSUG0Iy4DOc,"Aa Gattununtaava","Rangasthalam","Shiva Naagulu;Devi Sri Prasad;Chandra Bose",2018-03-15,189474,0,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"telugu pop,tollywood,tamil dance","Lahari Music",0.809,0.936,11,-4.021,1,0.213,0.521,0.00474,0.0982,0.768,96.036,4
spotify:track:6E6OghpA1gK2fjq3IywyPR,"Vaalu Kalla Pilla","Courier Boy Kalyan (Original Motion Picture Soundtrack)","Anup Rubens;Suchitra",2015-08-21,210826,41,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"tollywood,telugu pop,tamil dance,tamil pop,kollywood","Sony Music Entertainment India Pvt. Ltd.",0.869,0.761,9,-4.791,0,0.136,0.513,0,0.0634,0.935,94.528,3
spotify:track:5pOY1Vg2TIIbVBfR6yAg0C,"Gaali Vaaluga","Agnyaathavaasi","Anirudh Ravichander",2017-11-07,258333,13,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Aditya Music",0.677,0.81,0,-6.192,0,0.0378,0.643,0.000003,0.168,0.614,110.044,4
spotify:track:3F0I9AkbRwz12yz7Hxn0bF,"Oh Ho Ho Ho (Remix)","Hindi Medium","Sukhbir;Ikka",2017-04-21,244416,68,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"bhangra,bollywood,desi,desi hip hop,hindi hip hop","T-Series",0.676,0.935,5,-3.499,0,0.0892,0.00917,0,0.097,0.802,144.944,4
spotify:track:3EqgnmFJIarfSqSdBWMI8r,"Qismat","Qismat","Ammy Virk",2017-07-17,243870,63,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"bhangra,punjabi pop","Speed Records",0.43,0.744,11,-5.105,0,0.132,0.498,0,0.381,0.736,87.726,4
